Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,8,0,0.0,358.94,31,1,0.018948,308.41,78,0,0.0,321.03,38,0,0.0,320.51
August,1,0:30,5,0,0.0,366.53,21,0,0.007694,337.01,56,0,0.0,322.96,30,0,0.0,326.76
August,1,1:00,4,0,0.0,286.78,10,0,0.000718,344.6,41,0,0.0,331.04,23,0,0.0,320.69
August,1,1:30,3,0,0.0,228.24,6,0,8e-06,297.48,30,0,0.0,324.26,17,0,0.0,314.74
August,1,2:00,2,0,0.0,294.53,5,0,0.0,289.96,21,0,0.0,317.43,12,0,0.0,309.33
August,1,2:30,2,0,0.0,309.23,4,0,0.0,297.43,17,0,0.0,326.49,8,0,0.0,326.15
August,1,3:00,2,0,0.0,290.81,3,0,0.0,268.97,11,0,0.0,310.11,2,0,0.0,347.97
August,1,3:30,2,0,0.0,250.42,3,0,0.0,205.71,12,0,0.0,299.78,1,0,0.0,315.86
August,1,4:00,2,0,0.0,258.98,3,0,0.0,248.74,11,0,0.0,334.11,1,0,0.0,386.41
August,1,4:30,2,0,0.0,258.76,3,0,0.0,302.03,11,0,0.0,343.4,1,0,0.0,381.72
August,1,5:00,2,0,0.0,289.2,3,0,4.6e-05,278.55,11,0,0.0,364.82,1,0,0.0,293.92
August,1,5:30,3,0,0.0,231.35,3,0,0.007087,298.85,15,0,0.0,320.99,2,0,0.0,262.27
August,1,6:00,4,0,0.0,258.16,3,1,0.145373,346.46,24,0,7e-06,292.46,11,0,1.2e-05,253.92
August,1,6:30,4,0,0.0,291.89,5,1,0.257956,334.36,42,0,0.000689,275.08,19,0,0.001114,264.54
August,1,7:00,10,0,0.0,276.14,17,1,0.029337,306.16,80,1,0.007718,262.66,31,0,0.014604,279.46
August,1,7:30,17,0,0.0,298.01,33,0,0.000726,316.19,127,2,0.01351,263.32,62,1,0.020363,295.23
August,1,8:00,52,0,0.0,285.23,73,0,0.000329,314.26,261,1,0.00252,275.36,130,0,0.003696,294.4
August,1,8:30,91,0,1e-06,295.33,109,1,0.004998,315.21,384,1,0.002632,292.57,194,1,0.002861,290.34
August,1,9:00,122,0,0.000136,295.97,166,2,0.013859,305.39,528,7,0.012331,299.08,301,3,0.009126,293.82
August,1,9:30,158,0,0.002245,295.57,214,4,0.018111,312.57,698,14,0.020029,310.42,372,6,0.015774,289.9
August,1,10:00,184,1,0.005474,305.38,260,6,0.021594,320.87,833,10,0.012284,318.11,435,9,0.020149,295.61
August,1,10:30,225,1,0.004194,310.84,302,9,0.029015,331.4,867,11,0.012795,326.86,452,13,0.028446,304.09
August,1,11:00,252,3,0.010695,313.1,335,9,0.02669,334.77,927,14,0.015052,330.97,474,10,0.021746,311.61
August,1,11:30,260,5,0.020223,313.25,375,9,0.025267,336.64,967,19,0.019384,335.94,506,5,0.01075,314.61
August,1,12:00,266,8,0.031854,321.11,413,9,0.020762,335.16,994,20,0.020562,337.23,512,5,0.009565,318.32
August,1,12:30,262,11,0.042809,322.66,419,14,0.033728,338.86,995,21,0.021325,337.05,518,7,0.014414,316.87
August,1,13:00,259,5,0.019687,329.5,424,18,0.043428,339.52,997,19,0.018958,339.52,511,10,0.018633,316.46
August,1,13:30,252,2,0.00636,334.51,427,21,0.049174,338.14,994,22,0.022005,341.47,520,12,0.022756,313.68
August,1,14:00,254,3,0.012002,335.7,450,20,0.044877,341.33,1018,21,0.020272,341.9,538,14,0.026587,316.22
August,1,14:30,261,3,0.011883,333.19,456,14,0.030866,344.86,1013,10,0.009577,340.85,535,21,0.039293,317.7
August,1,15:00,250,1,0.003489,330.55,465,8,0.016194,338.14,1009,2,0.001835,342.38,528,12,0.023252,309.66
August,1,15:30,252,0,0.000157,338.66,459,7,0.014388,334.36,994,1,0.000718,340.14,522,6,0.011757,307.84
August,1,16:00,252,0,0.000156,340.1,453,6,0.013274,344.32,985,2,0.002166,341.45,538,5,0.008825,316.08
August,1,16:30,237,1,0.003602,323.05,432,4,0.01028,351.38,920,3,0.003075,340.46,515,4,0.006873,315.91
August,1,17:00,207,3,0.013077,330.99,416,4,0.008648,349.16,876,4,0.004403,342.1,482,3,0.0069,316.66
August,1,17:30,179,2,0.010866,340.52,391,5,0.013373,351.03,799,2,0.002916,341.89,434,2,0.004556,318.08
August,1,18:00,156,1,0.005052,345.66,357,8,0.023392,353.52,760,4,0.004788,341.33,446,2,0.003481,322.19
August,1,18:30,130,1,0.007711,351.15,312,8,0.024087,350.7,668,4,0.005824,344.01,392,1,0.001793,330.97
August,1,19:00,89,0,0.003958,344.29,282,5,0.018095,344.22,604,5,0.008653,343.26,340,1,0.001931,329.52
August,1,19:30,68,0,0.000244,339.01,250,7,0.026533,336.58,526,7,0.013339,341.32,313,0,0.000773,324.87
August,1,20:00,51,0,2e-06,318.24,213,11,0.053408,333.83,452,6,0.013955,341.77,265,0,0.00125,313.58
August,1,20:30,44,0,0.0,305.74,190,7,0.036727,321.22,386,3,0.008555,339.88,228,2,0.008434,307.44
August,1,21:00,34,0,0.0,319.17,160,5,0.033921,316.37,326,3,0.00796,338.82,190,4,0.01875,309.02
August,1,21:30,28,0,0.0,340.79,129,3,0.024159,320.24,264,1,0.003062,333.54,165,1,0.007278,313.13
August,1,22:00,23,0,0.0,372.6,102,2,0.017646,317.89,218,0,0.000171,323.74,132,0,0.000422,311.18
August,1,22:30,17,0,0.0,344.9,80,1,0.012218,316.07,171,0,1e-06,318.52,107,0,3e-06,310.84
August,1,23:00,15,0,0.0,339.29,60,1,0.022711,300.23,139,0,0.0,316.3,80,0,0.0,304.67
August,1,23:30,11,0,0.0,296.75,50,1,0.010268,299.69,115,0,0.0,313.48,66,0,0.0,291.48
August,2,0:00,4,0,0.0,325.14,31,0,0.0,285.89,78,0,0.0,306.1,34,0,0.0,293.89
August,2,0:30,4,0,0.0,340.58,24,0,0.0,291.18,64,0,0.0,313.88,27,0,0.0,293.31
August,2,1:00,3,0,0.0,340.05,11,0,0.0,323.85,47,0,0.0,291.95,21,0,0.0,323.3
August,2,1:30,2,0,0.0,316.38,6,0,0.0,340.51,36,0,0.0,284.58,16,0,0.0,347.4
August,2,2:00,2,0,0.0,239.72,5,0,0.0,353.06,24,0,0.0,297.58,11,0,0.0,347.28
August,2,2:30,2,0,0.0,278.51,4,0,0.0,303.62,20,0,0.0,300.59,7,0,0.0,356.12
August,2,3:00,2,0,0.0,333.06,4,0,0.0,307.54,13,0,0.0,319.69,1,0,0.0,336.38
August,2,3:30,2,0,0.0,431.96,3,0,0.0,259.37,12,0,0.0,365.52,0,0,0.0,252.81
August,2,4:00,3,0,0.0,372.73,3,0,0.0,211.63,11,0,0.0,384.15,0,0,0.0,207.27
August,2,4:30,3,0,0.0,261.93,3,0,0.0,327.11,11,0,0.0,354.35,0,0,0.0,247.61
August,2,5:00,3,0,0.0,204.94,3,0,0.0,414.99,11,0,0.0,318.5,0,0,0.0,294.66
August,2,5:30,2,0,0.0,216.94,3,0,0.0,313.77,13,0,0.0,267.13,0,0,0.0,273.67
August,2,6:00,1,0,0.0,244.83,3,0,0.0,262.82,22,0,0.0,258.13,7,0,0.0,229.71
August,2,6:30,2,0,0.0,243.18,5,0,0.0,256.26,41,0,0.0,257.14,13,0,0.0,253.98
August,2,7:00,3,0,0.0,269.58,12,0,0.0,274.67,77,0,0.0,261.0,23,0,0.0,291.63
August,2,7:30,7,0,0.0,291.72,15,0,0.0,288.71,116,0,0.0,263.96,36,0,0.0,297.71
August,2,8:00,24,0,0.0,274.38,30,0,0.0,279.08,181,0,0.0,271.08,62,0,0.0,291.8
August,2,8:30,18,0,0.0,275.73,51,0,0.0,293.9,266,0,0.0,283.02,90,0,6e-06,299.23
August,2,9:00,80,0,0.0,269.95,111,0,0.0,302.13,288,0,0.0,291.26,192,0,0.000479,292.08
