Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,6,0,0.0,374.06,31,0,0.015573,444.11,79,0,0.0,347.7,37,0,0.0,279.69
August,1,0:30,6,0,0.0,419.44,21,0,0.006324,431.42,57,0,0.0,342.21,30,0,0.0,318.25
August,1,1:00,4,0,0.0,578.28,10,0,0.00059,428.93,41,0,0.0,364.13,23,0,0.0,396.35
August,1,1:30,3,0,0.0,475.66,6,0,6e-06,467.88,31,0,0.0,356.3,17,0,0.0,395.26
August,1,2:00,3,0,0.0,565.64,5,0,0.0,437.4,21,0,0.0,405.47,12,0,0.0,404.9
August,1,2:30,2,0,0.0,491.98,4,0,0.0,424.73,17,0,0.0,473.9,8,0,0.0,448.95
August,1,3:00,2,0,0.0,469.8,3,0,0.0,428.11,12,0,0.0,420.13,2,0,0.0,424.37
August,1,3:30,2,0,0.0,529.29,3,0,0.0,345.6,12,0,0.0,433.74,1,0,0.0,300.35
August,1,4:00,2,0,0.0,262.29,3,0,0.0,307.63,11,0,0.0,508.16,1,0,0.0,497.45
August,1,4:30,2,0,0.0,238.03,3,0,0.0,246.45,11,0,0.0,456.29,1,0,0.0,698.46
August,1,5:00,2,0,0.0,293.89,3,0,3.8e-05,317.43,11,0,0.0,409.66,1,0,0.0,590.12
August,1,5:30,3,0,0.0,274.44,3,0,0.005825,253.5,15,0,0.0,237.36,2,0,0.0,730.24
August,1,6:00,4,0,0.0,302.97,3,0,0.11948,820.89,24,0,9e-06,249.31,11,0,1.4e-05,400.91
August,1,6:30,4,0,0.0,277.69,5,1,0.21201,665.13,43,0,0.000816,276.68,19,0,0.001299,387.98
August,1,7:00,11,0,0.0,284.84,17,0,0.024112,363.73,81,1,0.009143,276.7,31,1,0.017235,335.17
August,1,7:30,17,0,0.0,331.62,32,0,0.000597,354.6,129,2,0.016005,281.0,62,1,0.023685,329.72
August,1,8:00,55,0,0.0,282.83,72,0,0.000271,296.7,264,1,0.002985,298.67,130,1,0.004305,329.37
August,1,8:30,96,0,1e-06,299.42,108,0,0.004108,313.17,389,1,0.003118,304.84,193,1,0.003355,292.66
August,1,9:00,132,0,0.000148,299.82,165,2,0.01139,310.75,535,8,0.014608,311.21,299,3,0.010668,299.8
August,1,9:30,167,0,0.00251,324.51,213,3,0.014886,318.45,707,17,0.023728,322.29,370,7,0.018431,319.8
August,1,10:00,187,1,0.006363,323.71,259,5,0.017748,329.34,844,12,0.014552,330.97,433,10,0.023537,313.62
August,1,10:30,230,1,0.004835,323.71,301,7,0.023847,339.99,879,13,0.015158,335.06,450,15,0.033226,321.13
August,1,11:00,265,3,0.01203,328.36,334,7,0.021936,342.54,940,17,0.017831,338.95,472,12,0.025398,324.23
August,1,11:30,272,6,0.022848,320.47,373,8,0.020767,344.4,980,23,0.022964,336.91,504,6,0.012555,324.23
August,1,12:00,277,10,0.036184,320.47,412,7,0.017064,343.85,1008,25,0.024359,338.58,510,6,0.011171,324.87
August,1,12:30,273,13,0.048604,320.47,418,12,0.027721,345.69,1008,25,0.025262,340.94,516,9,0.016833,324.83
August,1,13:00,271,6,0.022296,321.37,423,15,0.035693,345.1,1011,23,0.022459,349.19,509,11,0.02176,326.35
August,1,13:30,259,2,0.007308,327.92,425,17,0.040415,345.1,1007,26,0.026068,347.34,518,14,0.026575,327.47
August,1,14:00,260,4,0.013858,327.92,448,17,0.036884,345.87,1032,25,0.024016,351.89,537,17,0.030969,327.47
August,1,14:30,267,4,0.013748,327.92,454,12,0.025368,349.08,1026,12,0.011346,345.68,537,24,0.045534,328.07
August,1,15:00,256,1,0.004028,327.92,463,6,0.01331,348.14,1022,2,0.002173,345.69,530,14,0.026911,328.07
August,1,15:30,258,0,0.000181,327.92,457,5,0.011825,348.14,1008,1,0.000851,346.92,525,7,0.01359,328.07
August,1,16:00,258,0,0.00018,331.67,452,5,0.01091,351.85,998,3,0.002566,347.36,538,6,0.010257,327.08
August,1,16:30,243,1,0.004142,331.81,431,4,0.008449,351.85,932,3,0.003643,347.36,514,4,0.008013,329.56
August,1,17:00,212,3,0.015102,331.81,415,3,0.007108,351.85,887,5,0.005216,346.29,480,4,0.008045,329.17
August,1,17:30,183,2,0.012545,331.22,389,4,0.010991,354.33,810,3,0.003455,343.59,435,2,0.005282,326.76
August,1,18:00,156,1,0.005977,329.78,355,7,0.019226,353.38,770,4,0.005672,346.7,445,2,0.004054,326.76
August,1,18:30,128,1,0.009256,341.57,311,6,0.019797,348.5,677,5,0.006899,347.63,391,1,0.00209,326.76
August,1,19:00,88,0,0.004734,341.66,281,4,0.014872,348.0,612,6,0.010251,340.75,342,1,0.002235,324.11
August,1,19:30,69,0,0.000283,333.89,249,5,0.021807,342.58,533,8,0.015802,341.16,315,0,0.000894,328.06
August,1,20:00,52,0,2e-06,333.89,213,9,0.043895,343.03,458,8,0.016532,342.03,267,0,0.001444,326.7
August,1,20:30,45,0,0.0,325.08,189,6,0.030185,333.22,392,4,0.010134,338.03,234,2,0.009557,320.76
August,1,21:00,34,0,0.0,329.5,159,4,0.02788,333.22,330,3,0.00943,336.76,196,4,0.021126,327.11
August,1,21:30,28,0,0.0,337.46,128,3,0.019856,333.76,268,1,0.003627,344.43,171,1,0.008158,328.92
August,1,22:00,23,0,0.0,329.62,101,1,0.014503,317.43,221,0,0.000202,339.38,139,0,0.000467,328.92
August,1,22:30,16,0,0.0,324.8,80,1,0.010042,310.96,173,0,2e-06,335.44,114,0,3e-06,331.09
August,1,23:00,13,0,0.0,352.56,60,1,0.018666,291.2,141,0,0.0,342.2,87,0,0.0,331.09
August,1,23:30,10,0,0.0,275.02,49,0,0.008439,312.0,116,0,0.0,337.04,73,0,0.0,318.28
August,2,0:00,4,0,0.0,695.82,30,0,0.0,373.65,62,0,0.0,332.27,35,0,0.0,301.68
August,2,0:30,4,0,0.0,425.35,23,0,0.0,377.78,51,0,0.0,360.46,28,0,0.0,327.41
August,2,1:00,3,0,0.0,430.89,10,0,0.0,324.4,38,0,0.0,340.72,21,0,0.0,384.91
August,2,1:30,3,0,0.0,386.23,6,0,0.0,444.63,29,0,0.0,312.12,16,0,0.0,433.24
August,2,2:00,2,0,0.0,388.74,5,0,0.0,464.3,20,0,0.0,376.53,11,0,0.0,432.1
August,2,2:30,2,0,0.0,421.4,4,0,0.0,495.85,17,0,0.0,417.98,8,0,0.0,489.17
August,2,3:00,2,0,0.0,421.76,4,0,0.0,525.42,11,0,0.0,366.32,1,0,0.0,469.51
August,2,3:30,2,0,0.0,656.75,3,0,0.0,447.52,10,0,0.0,442.45,0,0,0.0,228.57
August,2,4:00,3,0,0.0,370.48,3,0,0.0,446.52,9,0,0.0,527.72,0,0,0.0,465.44
August,2,4:30,3,0,0.0,342.89,3,0,0.0,411.26,9,0,0.0,541.43,0,0,0.0,310.64
