Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,6,0,0.0,369.84,45,1,0.016805,315.91,71,0,0.0,331.63,44,0,0.0,331.51
August,1,0:30,5,0,0.0,377.66,32,0,0.006707,345.2,54,0,0.0,333.62,30,0,0.0,337.98
August,1,1:00,4,0,0.0,295.49,15,0,0.000641,352.98,40,0,0.0,341.97,24,0,0.0,331.69
August,1,1:30,2,0,0.0,235.17,9,0,7e-06,304.71,29,0,0.0,334.96,18,0,0.0,325.54
August,1,2:00,2,0,0.0,303.48,7,0,0.0,297.0,19,0,0.0,327.9,13,0,0.0,319.94
August,1,2:30,2,0,0.0,318.62,5,0,0.0,304.66,17,0,0.0,337.27,9,0,0.0,337.35
August,1,3:00,2,0,0.0,299.64,5,0,0.0,275.51,14,0,0.0,320.34,4,0,0.0,359.91
August,1,3:30,2,0,0.0,258.03,4,0,0.0,210.71,13,0,0.0,309.67,2,0,0.0,326.7
August,1,4:00,2,0,0.0,266.85,4,0,0.0,254.79,13,0,0.0,345.14,2,0,0.0,399.68
August,1,4:30,2,0,0.0,266.62,4,0,0.0,309.37,13,0,0.0,354.74,2,0,0.0,394.82
August,1,5:00,2,0,0.0,297.99,4,0,5.1e-05,285.32,14,0,0.0,376.86,2,0,0.0,304.0
August,1,5:30,2,0,0.0,238.37,4,0,0.007795,306.11,17,0,0.0,331.59,3,0,0.0,271.27
August,1,6:00,3,0,0.0,266.0,5,1,0.129463,354.88,27,0,7e-06,302.11,11,0,1.1e-05,262.64
August,1,6:30,3,0,0.0,300.76,9,2,0.199237,342.48,45,0,0.000697,284.16,20,0,0.001017,273.62
August,1,7:00,8,0,0.0,284.53,26,1,0.024968,313.6,88,1,0.00761,271.33,35,0,0.012584,289.05
August,1,7:30,15,0,0.0,307.06,46,0,0.000678,323.88,142,2,0.013059,272.02,64,1,0.019127,305.36
August,1,8:00,47,0,0.0,293.89,88,0,0.000356,321.9,274,1,0.002593,284.45,120,0,0.003845,304.51
August,1,8:30,87,0,1e-06,304.3,136,1,0.005221,322.87,419,1,0.002608,302.23,179,1,0.002988,300.31
August,1,9:00,133,0,0.000124,304.96,233,3,0.012896,312.81,622,7,0.011322,308.95,284,3,0.009284,303.9
August,1,9:30,170,0,0.002079,304.55,304,5,0.016634,320.17,785,15,0.019231,320.66,344,6,0.016395,299.85
August,1,10:00,198,1,0.005088,314.66,371,7,0.019764,328.67,921,11,0.01201,328.61,408,8,0.020623,305.75
August,1,10:30,237,1,0.00398,320.28,426,11,0.026861,339.45,1035,12,0.011584,337.65,452,12,0.027316,314.53
